List Length, Linear Time, Binary Time, Binary Time-R
449, 0.010795999958645552, 0.0007886000094003975, 0.001974400016479194
454, 0.009649400017224252, 0.0007665000157430768, 0.001913699961733073
458, 0.00929849996464327, 0.0006687000277452171, 0.0017918000230565667
463, 0.011161299946252257, 0.0007538999780081213, 0.002882000000681728
468, 0.010279799986165017, 0.0006888000061735511, 0.0019654000061564147
472, 0.009852799994405359, 0.0007090999861247838, 0.0019042000058107078
477, 0.009799799998290837, 0.0006814000080339611, 0.0029189999913796782
483, 0.009852799994405359, 0.0007027999963611364, 0.0017502999980933964
488, 0.009775099984835833, 0.0006988999666646123, 0.0017694999696686864
493, 0.012500100012402982, 0.0012314000050537288, 0.004037800012156367
498, 0.012297899986151606, 0.0007596999639645219, 0.002929600013885647
504, 0.011368799954652786, 0.0007794999983161688, 0.0019721999997273088
510, 0.010719100013375282, 0.0006945999921299517, 0.0017853999743238091
515, 0.010604400013107806, 0.0006561999907717109, 0.0031166999833658338
521, 0.010580600006505847, 0.0006420999998226762, 0.003396900021471083
527, 0.010823100048583001, 0.0006257999921217561, 0.003459800034761429
534, 0.011557699996046722, 0.0006427000043913722, 0.004876899998635054
540, 0.01114749995758757, 0.0006406999891623855, 0.004372299998067319
547, 0.011769500037189573, 0.0006465999758802354, 0.003457799961324781
553, 0.01122759998543188, 0.0006070000235922635, 0.002341100014746189
560, 0.011392900021746755, 0.0006282000103965402, 0.003686999960336834
567, 0.011737800028640777, 0.0006153000285848975, 0.0044027999974787235
574, 0.011601599981077015, 0.0006333000492304564, 0.005694999999832362
582, 0.013007899979129434, 0.0006147000240162015, 0.003260200028307736
589, 0.013564800028689206, 0.000686399987898767, 0.002437799994368106
597, 0.012439100013580173, 0.0006222999654710293, 0.004215199965983629
605, 0.012959100014995784, 0.000623099971562624, 0.005152300000190735
613, 0.012644200003705919, 0.000622499966993928, 0.0032115000067278743
621, 0.013012500014156103, 0.0006209000130183995, 0.002420299977529794
630, 0.013513299985788763, 0.0006296000210568309, 0.003373999963514507
639, 0.013854999968316406, 0.0006857000407762825, 0.004757199960295111
648, 0.014164799998980016, 0.0006265999982133508, 0.0036005000001750886
658, 0.014202899998053908, 0.0006936999852769077, 0.002740900032222271
667, 0.015077799966093153, 0.0006290000164881349, 0.004645999986678362
677, 0.01584439998259768, 0.0006482999888248742, 0.003943700052332133
687, 0.015904400032013655, 0.0006874999962747097, 0.0035880000214092433
698, 0.01579219999257475, 0.0006326999864540994, 0.0035309999948367476
709, 0.01610080001410097, 0.000666000007186085, 0.0032961000106297433
720, 0.017139700008556247, 0.000679299992043525, 0.004931600007694215
732, 0.01704429998062551, 0.0006701999809592962, 0.004790599981788546
744, 0.01693639997392893, 0.0006913000252097845, 0.003817099961452186
756, 0.017495199979748577, 0.0007334999972954392, 0.0030468999757431448
769, 0.01852569996844977, 0.0009034000104293227, 0.00361799995880574
782, 0.018298399983905256, 0.0008459999808110297, 0.0028457000153139234
796, 0.01877349999267608, 0.0008644000045023859, 0.002917799982242286
810, 0.018860000011045486, 0.0008435000199824572, 0.004006400005891919
825, 0.01878209999995306, 0.0008801000076346099, 0.003966499993111938
840, 0.019614499993622303, 0.0008277000160887837, 0.0028564000385813415
856, 0.019541600020602345, 0.0008384999819099903, 0.0029755000141449273
873, 0.019155099987983704, 0.000770999991800636, 0.0026706000207923353
890, 0.018704499991144985, 0.0007935999892652035, 0.003735800040885806
908, 0.019124799990095198, 0.0007887000101618469, 0.0053616000222973526
926, 0.019824899965897202, 0.0007702999864704907, 0.004596899962052703
945, 0.020490100025199354, 0.0007885999511927366, 0.004812500032130629
966, 0.02096009999513626, 0.0007757000275887549, 0.0037111000274308026
987, 0.022817199991550297, 0.0008712999988347292, 0.0047842999920248985
1008, 0.021296100050676614, 0.0007906000246293843, 0.004654699994716793
1031, 0.02180310001131147, 0.0007173999911174178, 0.004388199944514781
1055, 0.022996699961367995, 0.0008152000373229384, 0.005669199978001416
1081, 0.02657250000629574, 0.0007938999915495515, 0.006743000005371869
1107, 0.023264999967068434, 0.0006971999537199736, 0.0061113000265322626
1135, 0.024581799982115626, 0.0006809000042267144, 0.006188600033055991
1164, 0.02670899999793619, 0.0008064999710768461, 0.00588360003894195
1194, 0.02981300000101328, 0.001261900004465133, 0.007680600043386221
1227, 0.02795810002135113, 0.0006881000008434057, 0.007067899976391345
1261, 0.027819000009912997, 0.0006917999708093703, 0.004612800024915487
1297, 0.028176099993288517, 0.0006962999468669295, 0.00720360002014786
1335, 0.030481700028758496, 0.0007871999987401068, 0.006918900005985051
1375, 0.031693700002506375, 0.0007742000161670148, 0.006283800001256168
1418, 0.030918799981009215, 0.0006932000396773219, 0.006226600031368434
1464, 0.03207409998867661, 0.0006977000157348812, 0.007893099973443896
1513, 0.033080600027460605, 0.0006828000186942518, 0.005178800027351826
1565, 0.033436199999414384, 0.0008651999523863196, 0.005810400005429983
1621, 0.03519979998236522, 0.0008467999869026244, 0.007387800025753677
1681, 0.0369784000213258, 0.0008431000169366598, 0.006260699999984354
1746, 0.03893929999321699, 0.0009414000087417662, 0.006893100042361766
1816, 0.041948200028855354, 0.0008397999918088317, 0.007410500023979694
1891, 0.04120780003722757, 0.0009211000287905335, 0.007138499990105629
1974, 0.04537900001741946, 0.0008602000307291746, 0.007812800002284348
2063, 0.045713999948929995, 0.0007824000203981996, 0.008235300017986447
2162, 0.04779480001889169, 0.0008628999930806458, 0.0088926000171341
2270, 0.051858499995432794, 0.0008549999911338091, 0.01622669998323545
